🕘️更新时间,#genre#
2025-12-14 18:55:28,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub

📺央视频道,#genre#
CCTV-1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV-1,http://110.241.195.30:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV-1,http://jiugong.wulinsy.cn:39901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV-1,http://111.162.205.11:8686/rtp/225.1.1.120:5002
CCTV-1,http://144.255.32.94:8288/udp/239.21.1.120:5002
CCTV-1,http://39.77.27.74:4002/rtp/239.253.254.89:8000
CCTV-1,http://115.171.216.99:4000/rtp/225.1.8.1:8008
CCTV-1,http://116.235.57.22:4022/rtp/239.45.3.145:5140
CCTV-1,http://115.171.216.99:4000/rtp/225.1.8.33:8002
CCTV-1,http://115.171.216.99:4000/rtp/225.1.8.81:8176
CCTV-2,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub
CCTV-2,http://jiugong.wulinsy.cn:39901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-2,http://110.241.195.30:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-2,http://39.77.27.74:4002/rtp/239.253.254.232:8000
CCTV-2,http://111.162.205.11:8686/rtp/225.1.1.133:5002
CCTV-2,http://183.236.43.98:4013/udp/239.77.1.158:5146
CCTV-2,http://113.119.25.243:58888/udp/239.77.1.158:5146
CCTV-2,http://144.255.32.94:8288/udp/239.21.1.151:5002
CCTV-2,http://171.113.208.108:4022/rtp/239.69.1.102:10250
CCTV-2,http://115.171.216.99:4000/rtp/225.1.8.2:8084
CCTV-3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV-3,http://110.241.195.30:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV-3,http://jiugong.wulinsy.cn:39901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV-3,http://111.162.205.11:8686/rtp/225.1.1.158:5002
CCTV-3,http://118.180.142.49:65535/udp/239.255.29.12:8231
CCTV-3,http://113.119.25.243:58888/udp/239.77.0.169:5146
CCTV-3,http://171.113.208.108:4022/rtp/239.69.1.122:10370
CCTV-3,http://121.29.141.118:4022/rtp/239.253.92.191:6057
CCTV-3,http://114.107.45.103:8188/rtp/238.1.78.170:7232
CCTV-3,http://39.77.27.74:4002/rtp/239.253.254.191:8000
CCTV-4,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub
CCTV-4,http://110.241.195.30:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV-4,http://jiugong.wulinsy.cn:39901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV-4,http://111.162.205.11:8686/rtp/225.1.1.150:5002
CCTV-4,http://39.77.27.74:4002/rtp/239.253.254.111:8000
CCTV-4,http://223.167.230.129:4022/rtp/239.45.0.2:5140
CCTV-4,http://116.235.57.22:4022/rtp/239.45.0.2:5140
CCTV-4,http://114.107.45.103:8188/rtp/238.1.78.236:7760
CCTV-4,http://171.113.208.108:4022/rtp/239.69.1.231:11028
CCTV-4,http://121.29.141.118:4022/rtp/239.253.92.251:6141
CCTV-5,http://110.241.195.30:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV-5,http://jiugong.wulinsy.cn:39901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV-5,http://111.162.205.11:8686/rtp/225.1.1.160:5002
CCTV-5,http://144.255.32.94:8288/udp/239.21.2.46:5002
CCTV-5,http://118.180.142.49:65535/udp/239.255.29.13:8231
CCTV-5,http://114.107.45.103:8188/rtp/238.1.78.171:7240
CCTV-5,http://171.113.208.108:4022/rtp/239.69.1.123:10376
CCTV-5,http://106.118.20.156:8188/rtp/239.254.201.153:7206
CCTV-5,http://39.77.27.74:4002/rtp/239.253.254.192:8000
CCTV-5,http://106.83.119.210:8188/rtp/235.254.198.54:1492
CCTV-5+,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV-5+,http://110.241.195.30:9901/tsfile/live/0016_1.m3u8?key=txiptv
CCTV-5+,http://39.77.27.74:4002/rtp/239.253.254.80:8000
CCTV-5+,http://113.119.25.243:58888/udp/239.77.1.31:5146
CCTV-5+,http://121.29.141.118:4022/rtp/239.253.92.82:8013
CCTV-5+,http://144.255.32.94:8288/udp/239.21.1.142:5002
CCTV-5+,http://111.162.205.11:8686/rtp/225.1.1.121:5002
CCTV-5+,http://114.254.35.130:18888/rtp/239.3.1.130:8004
CCTV-5+,http://114.107.45.103:8188/rtp/238.1.78.237:7768
CCTV-5+,http://106.118.20.156:8188/rtp/239.254.200.46:8004
CCTV-6,http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=testpub
CCTV-6,http://110.241.195.30:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV-6,http://118.180.142.49:65535/udp/239.255.29.14:8231
CCTV-6,http://111.162.205.11:8686/rtp/225.1.1.195:5002
CCTV-6,http://144.255.32.94:8288/udp/239.21.2.47:5002
CCTV-6,http://223.167.230.129:4022/rtp/239.45.1.70:5140
CCTV-6,http://183.236.43.98:4013/udp/239.77.0.171:5146
CCTV-6,http://114.107.45.103:8188/rtp/238.1.78.172:7248
CCTV-6,http://113.119.25.243:58888/udp/239.77.0.171:5146
CCTV-6,http://144.255.31.207:6688/udp/239.21.2.47:5002
CCTV-7,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub
CCTV-7,http://110.241.195.30:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV-7,http://111.162.205.11:8686/rtp/225.1.1.138:5002
CCTV-7,http://121.29.141.118:4022/rtp/239.253.92.194:6059
CCTV-7,http://171.113.208.108:4022/rtp/239.69.1.103:10256
CCTV-7,http://144.255.32.94:8288/udp/239.21.1.152:5002
CCTV-7,http://113.119.25.243:58888/udp/239.77.0.138:5146
CCTV-7,http://183.236.43.98:4013/udp/239.77.0.138:5146
CCTV-7,http://114.107.45.103:8188/rtp/238.1.78.239:7784
